"ROW_ID","ROW_VERSION","ROW_ETAG","id","name","consortium","grant","study","specimenID","organ","tissue","cellType","assay","fileFormat","dataFileHandleId"
"12978247","1","4c233b63-ed82-447b-b81e-03d0c43811d3","syn12978247","Astro_inter_sample_372787143.hic","PEC","R01MH106056","iPSC-HiC","iPSC_Astro_pool",,,"iPSC-derived astrocytes","HI-C","hic","28605872"
"12978277","1","25c2b6cd-f36c-48db-aeb5-74781cb3c9a5","syn12978277","NPC_inter_sample_372787143.hic","PEC","R01MH106056","iPSC-HiC","iPSC_NPC_pool",,,"iPSC-derived neuronal progenitor cell","HI-C","hic","28605931"
"12978686","2","b115f751-69e8-45a0-a4e5-d3b995865111","syn12978686","PM_NeuN_minus_HBCC2405_CMC_HBCC_414_R1.fastq.gz","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN-","brain","anterior cingulate cortex","NeuN-","HI-C","fastq","65170187"
"12978746","2","1b7fbe90-f391-4ef6-94aa-0b9c48e373fc","syn12978746","PM_NeuN_minus_HBCC2405_CMC_HBCC_414_R2.fastq.gz","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN-","brain","anterior cingulate cortex","NeuN-","HI-C","fastq","65170188"
"12978758","2","11fa8208-1367-4ddb-8d99-73574fbcbe1c","syn12978758","PM_NeuN_plus_HBCC2405_CMC_HBCC_414_R1.fastq.gz","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN+","brain","anterior cingulate cortex","NeuN+","HI-C","fastq","65170190"
"12978762","2","05c293be-0002-49ab-81d3-d6fca1943c4f","syn12978762","PM_NeuN_plus_HBCC2405_CMC_HBCC_414_R2.fastq.gz","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN+","brain","anterior cingulate cortex","NeuN+","HI-C","fastq","65170191"
"12978765","1","5d7745c4-f4fa-42ae-84a9-6b18dabee011","syn12978765","PM_NeuN_minus_inter_sample_HBCC2405_CMC_HBCC_414_204476188.hic","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN-","brain","anterior cingulate cortex","NeuN-","HI-C","hic","28606939"
"12978767","1","ec79f332-fedd-4a74-a408-c706fc5a757e","syn12978767","PM_NeuN_plus_inter_sample_HBCC2405_CMC_HBCC_414_204476188.hic","PEC","R01MH106056","iPSC-HiC","HBCC_ACC_354_NeuN+","brain","anterior cingulate cortex","NeuN+","HI-C","hic","28606955"
"12978768","1","c48ff08b-44b1-4a16-94d4-68287fcd9c03","syn12978768","Neu_inter_sample_372787143.hic","PEC","R01MH106056","iPSC-HiC","iPSC_Neu_pool",,,"iPSC-derived neuron","HI-C","hic","28606977"
"18489367","1","91038064-b130-4782-bab0-0339558f6716","syn18489367","HiCCUPS Loops (non-subsampled)","PEC","R01MH106056","iPSC-HiC","iPSC_NPC_pool, iPSC_Neu_pool, iPSC_Glia_pool",,,"iPSC-derived neuronal progenitor cell, iPSC-derived neuron, iPSC-derived glia","HI-C","txt","38214485"
